Computer timestamp [um],ImagePath,Top left Screen Xcoord Pixel,Top left Screen Ycoord Pixel,Top right Screen Xcoord Pixel,TopRightY_Pixels,BottomRightX_Pixels,BottomRightY_Pixels,BottomLeftX_Pixels,Bottom left Screen Ycoord Pixel,GazeX_ImagePixels,GazeY_ImagePixels
7463418967,E:\For LLM Study\15468-a-12-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,-4518.523214091962,8235.087269423275
7463528104,E:\For LLM Study\15468-a-12-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,-6863.241271946844,8791.1757531925
7463637115,E:\For LLM Study\15468-a-12-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,-8457.55797235229,9374.933007207626
7463749204,E:\For LLM Study\15468-a-12-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,-8715.20567696495,9567.577160822504
7463857952,E:\For LLM Study\15468-a-12-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,-8669.965584543283,9696.862312357825
7463969266,E:\For LLM Study\15468-a-12-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,-9495.443603547692,9765.544032875063
7464081265,E:\For LLM Study\15468-a-12-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,-10392.39208195288,10046.072727633407
7464189691,E:\For LLM Study\15468-a-12-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,-9330.843664557804,10400.671306938497
7464300298,E:\For LLM Study\15468-a-12-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,-8283.051395618835,10757.054667476528
7464413037,E:\For LLM Study\15468-a-12-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,-7530.296974817202,10786.186275422926
7464522322,E:\For LLM Study\15468-a-12-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,-7569.901140054328,11227.153090612956
7464633898,E:\For LLM Study\15468-a-13-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,-8694.957786759915,10684.664309223332
7464746068,E:\For LLM Study\15468-a-13-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,-9428.884871644757,9817.930803714124
7464856094,E:\For LLM Study\15468-a-13-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,-8881.161411288289,9683.179495431585
7464967245,E:\For LLM Study\15468-a-13-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,-8486.328465194329,9906.23975206817
7465079222,E:\For LLM Study\15468-a-13-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,-7297.460596870231,9900.62416799453
7465214874,E:\For LLM Study\15468-a-13-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,11624.32173314472,9726.914088035224
7465302107,E:\For LLM Study\15468-a-13-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,22606.745212382782,9780.006207886297
7465410164,E:\For LLM Study\15468-a-13-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,22738.85285347722,10024.82076894267
7465520330,E:\For LLM Study\15468-a-13-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,24857.560978058937,10904.661386967051
7465630248,E:\For LLM Study\15468-a-13-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,25614.20241246181,11362.99488776299
7465742350,E:\For LLM Study\15468-a-13-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,25475.16407483939,11368.280723612479
7465852364,E:\For LLM Study\15468-a-13-1.svs,-1869.0060089260182,-7570.000997701319,52596.276527449845,-7570.000997701319,52596.276527449845,25443.09408356691,-1869.0060089260182,25443.09408356691,17564.01069246304,11524.886903019258
7465963297,E:\For LLM Study\15468-a-13-1.svs,-15969.691954022988,0.0,65121.69195402299,0.0,65121.69195402299,49152.0,-15969.691954022988,49152.0,-5961.474477536988,11680.39939580291
7466074213,E:\For LLM Study\15468-a-13-1.svs,-15969.691954022988,0.0,65121.69195402299,0.0,65121.69195402299,49152.0,-15969.691954022988,49152.0,-26628.96851386861,29373.57499880452
7466183669,E:\For LLM Study\15468-a-13-1.svs,-15969.691954022988,0.0,65121.69195402299,0.0,65121.69195402299,49152.0,-15969.691954022988,49152.0,-25503.08146205863,29433.147573761475
7466294908,E:\For LLM Study\15468-a-13-1.svs,-15969.691954022988,0.0,65121.69195402299,0.0,65121.69195402299,49152.0,-15969.691954022988,49152.0,-24305.325853676626,28568.678411318862
7466406089,E:\For LLM Study\15468-a-13-1.svs,-15969.691954022988,0.0,65121.69195402299,0.0,65121.69195402299,49152.0,-15969.691954022988,49152.0,-2820.929019254876,27820.731963107308
7466517059,E:\For LLM Study\15468-a-13-1.svs,-15969.691954022988,0.0,65121.69195402299,0.0,65121.69195402299,49152.0,-15969.691954022988,49152.0,18702.458445208948,26721.99596822399
7466627159,E:\For LLM Study\15468-a-13-1.svs,-15969.691954022988,0.0,65121.69195402299,0.0,65121.69195402299,49152.0,-15969.691954022988,49152.0,26618.996152092164,25152.391188372705
7466735196,E:\For LLM Study\15468-a-13-1.svs,-15969.691954022988,0.0,65121.69195402299,0.0,65121.69195402299,49152.0,-15969.691954022988,49152.0,33138.80188008373,24049.7399788399
7466846289,E:\For LLM Study\15468-a-13-1.svs,-15969.691954022988,0.0,65121.69195402299,0.0,65121.69195402299,49152.0,-15969.691954022988,49152.0,32880.294172467125,23939.8363364934
7466955300,E:\For LLM Study\15468-a-13-1.svs,-15969.691954022988,0.0,65121.69195402299,0.0,65121.69195402299,49152.0,-15969.691954022988,49152.0,32241.480836533585,24206.121568955623
7467067013,E:\For LLM Study\15468-a-13-1.svs,16752.99221352777,20123.11720057195,41323.25821518121,20123.11720057195,41323.25821518121,35015.916611699555,16752.99221352777,35015.916611699555,31114.423320222795,26948.31822528807
7467177363,E:\For LLM Study\15468-a-13-1.svs,21448.145422034868,23012.154011233535,37950.8417046813,23012.154011233535,37950.8417046813,33014.949482136275,21448.145422034868,33014.949482136275,31174.057630218707,28022.943792200575
7467286903,E:\For LLM Study\15468-a-13-1.svs,21448.145422034868,23012.154011233535,37950.8417046813,23012.154011233535,37950.8417046813,33014.949482136275,21448.145422034868,33014.949482136275,31181.816422874588,28050.847655983136
7467395250,E:\For LLM Study\15468-a-13-1.svs,21448.145422034868,23012.154011233535,37950.8417046813,23012.154011233535,37950.8417046813,33014.949482136275,21448.145422034868,33014.949482136275,31192.543023319966,27967.191366020746
7467507064,E:\For LLM Study\15468-a-13-1.svs,27401.288960045753,26239.052310635907,34845.951294043814,26239.052310635907,34845.951294043814,30751.49278711871,27401.288960045753,30751.49278711871,31775.086289608676,28474.68205510521
7467618057,E:\For LLM Study\15468-a-13-1.svs,27401.288960045753,26239.052310635907,34845.951294043814,26239.052310635907,34845.951294043814,30751.49278711871,27401.288960045753,30751.49278711871,31477.723052710673,28445.758970412306
7467730240,E:\For LLM Study\15468-a-13-1.svs,27401.288960045753,26239.052310635907,34845.951294043814,26239.052310635907,34845.951294043814,30751.49278711871,27401.288960045753,30751.49278711871,31172.88749654478,28377.10686345902
7467839031,E:\For LLM Study\15468-a-13-1.svs,27401.288960045753,26239.052310635907,34845.951294043814,26239.052310635907,34845.951294043814,30751.49278711871,27401.288960045753,30751.49278711871,31024.165190242744,28365.117598288958
7467951062,E:\For LLM Study\15468-a-13-1.svs,27401.288960045753,26239.052310635907,34845.951294043814,26239.052310635907,34845.951294043814,30751.49278711871,27401.288960045753,30751.49278711871,30741.197467298156,28324.27702373105
7468063178,E:\For LLM Study\15468-a-13-1.svs,27359.795254514876,25948.596371919768,34804.457588512945,25948.596371919768,34804.457588512945,30461.03684840257,27359.795254514876,30461.03684840257,30608.397243660627,28012.018431176566
7468174271,E:\For LLM Study\15468-a-13-1.svs,27186.904814802896,25378.057920870222,34631.56714880096,25378.057920870222,34631.56714880096,29890.498397353025,27186.904814802896,29890.498397353025,30436.492037220003,27163.780778227512
7468285006,E:\For LLM Study\15468-a-13-1.svs,27176.531388420186,25371.142303281744,34621.19372241825,25371.142303281744,34621.19372241825,29883.582779764547,27176.531388420186,29883.582779764547,30317.060573197698,27219.803730385753
7468397182,E:\For LLM Study\15468-a-13-1.svs,27176.531388420186,25371.142303281744,34621.19372241825,25371.142303281744,34621.19372241825,29883.582779764547,27176.531388420186,29883.582779764547,29518.477208835626,27287.259823024375
7468507056,E:\For LLM Study\15468-a-13-1.svs,27176.531388420186,25371.142303281744,34621.19372241825,25371.142303281744,34621.19372241825,29883.582779764547,27176.531388420186,29883.582779764547,29255.822483050728,27275.637761307727
7468619020,E:\For LLM Study\15468-a-13-1.svs,27176.531388420186,25371.142303281744,34621.19372241825,25371.142303281744,34621.19372241825,29883.582779764547,27176.531388420186,29883.582779764547,28862.211098602,27338.14696597938
7468729052,E:\For LLM Study\15468-a-13-1.svs,27176.531388420186,25371.142303281744,34621.19372241825,25371.142303281744,34621.19372241825,29883.582779764547,27176.531388420186,29883.582779764547,28821.567873718137,27403.95659379383
7468840168,E:\For LLM Study\15468-a-13-1.svs,25673.768173441647,24154.05623490768,36757.85593134161,24154.05623490768,36757.85593134161,30872.465210318478,25673.768173441647,30872.465210318478,30463.47257595822,27299.451267471435
7468952311,E:\For LLM Study\15468-a-13-1.svs,25673.768173441647,24154.05623490768,36757.85593134161,24154.05623490768,36757.85593134161,30872.465210318478,25673.768173441647,30872.465210318478,31640.51835691975,27354.052988731
7469064303,E:\For LLM Study\15468-a-13-1.svs,25673.768173441647,24154.05623490768,36757.85593134161,24154.05623490768,36757.85593134161,30872.465210318478,25673.768173441647,30872.465210318478,31955.30581965761,27363.24753110684
